mes,dia,max,min
6,1,29.5,15.2
6,2,31.3,15.3
6,3,32.0,11.8
6,4,31.5,14.6
6,5,32.1,12.9
6,6,32.8,13.5
6,7,30.0,15.2
6,8,30.2,15.5
6,9,31.1,14.3
6,10,28.1,14.1
6,11,31.9,14.1
6,12,32.3,18.1
6,13,31.4,16.4
6,14,30.3,13.8
6,15,31.6,14.8
6,16,31.8,13.1
6,17,32.1,13.6
6,18,31.1,14.6
6,19,29.9,12.1
6,20,28.9,12.1
6,21,30.8,14.0
6,22,33.1,16.0
6,23,31.2,17.5
6,24,29.8,15.3
6,25,24.9,11.8
6,26,25.0,15.9
6,27,25.1,15.3
6,28,28.2,15.9
6,29,28.2,15.1
6,30,27.2,12.8
7,1,26.5,12.5
7,2,26.7,15.1
7,3,28.1,14.2
7,4,29.0,13.0
7,5,29.2,11.6
7,6,28.5,11.9
7,7,27.2,12.1
7,8,27.1,13.1
7,9,28.0,16.3
7,10,25.3,14.1
7,11,20.4,14.0
7,12,22.7,14.1
7,13,26.1,14.3
7,14,25.3,14.2
7,15,28.3,11.6
7,16,28.3,12.4
7,17,25.8,13.8
7,18,25.8,14.5
7,19,24.9,13.7
7,20,28.2,15.7
7,21,28.7,14.7
7,22,28.3,12.5
7,23,28.5,12.0
7,24,27.8,13.5
7,25,28.2,12.8
7,26,24.4,13.6
7,27,26.6,13.5
7,28,27.7,15.2
7,29,28.7,14.6
7,30,29.7,12.8
7,31,28.8,10.8
8,1,29.5,10.7
8,2,29.9,12.6
8,3,29.7,11.7
8,4,29.7,12.8
8,5,30.5,12.6
8,6,29.5,13.9
8,7,29.0,14.0
8,8,28.5,13.8
8,9,28.8,11.3
8,10,23.6,13.5
8,11,27.3,15.0
8,12,29.3,12.3
8,13,30.7,11.2
8,14,29.4,15.1
8,15,30.2,13.2
8,16,28.0,12.2
8,17,26.6,14.0
8,18,26.9,14.6
8,19,28.5,12.7
8,20,30.8,12.0
8,21,29.0,10.1
8,22,28.1,10.8
8,23,28.6,13.4
8,24,28.1,12.0
8,25,29.4,11.2
8,26,28.4,15.6
8,27,28.8,15.5
8,28,24.6,15.5
8,29,23.3,15.9
8,30,20.8,15.0
8,31,21.5,14.3
9,1,23.9,14.1
9,2,24.6,15.0
9,3,24.9,13.2
9,4,23.4,14.3
9,5,21.2,14.6
9,6,19.9,14.5
9,7,22.4,14.3
9,8,25.4,11.0
9,9,24.8,11.2
9,10,26.6,10.2
9,11,25.8,9.5
9,12,26.1,7.1
9,13,27.5,7.5
9,14,28.8,7.1
9,15,30.4,9.2
9,16,28.8,10.1
9,17,28.2,11.5
9,18,27.2,14.0
9,19,27.9,11.5
9,20,29.3,11.7
9,21,27.7,12.4
9,22,26.8,13.5
9,23,25.3,12.6
9,24,26.0,14.8
9,25,24.0,14.6
9,26,25.6,15.3
9,27,24.2,15.6
9,28,26.2,14.2
9,29,24.1,11.8
9,30,23.7,14.3
10,1,24.3,11.6
10,2,25.8,11.8
10,3,25.0,11.9
10,4,23.4,14.6
10,5,25.1,14.5
10,6,27.9,14.1
10,7,28.2,10.8
10,8,24.6,11.4
10,9,26.1,10.9
10,10,25.2,11.1
10,11,23.3,12.4
10,12,24.7,10.1
10,13,24.4,10.6
10,14,25.3,7.6
10,15,27.2,9.5
10,16,24.6,8.7
10,17,25.9,6.9
10,18,26.7,5.2
10,19,27.8,5.1
10,20,28.0,7.0
10,21,27.3,7.2
10,22,29.0,4.8
10,23,26.1,7.3
10,24,24.3,7.7
10,25,21.2,7.2
10,26,26.0,0.3
10,27,26.9,2.9
10,28,25.4,2.6
10,29,25.2,3.7
10,30,24.4,5.2
10,31,24.0,7.4
11,1,26.4,7.6
11,2,28.3,7.9
11,3,29.4,9.7
11,4,29.6,8.5
11,5,30.1,5.8
11,6,29.8,3.5
11,7,30.5,1.2
11,8,31.1,1.6
11,9,27.8,3.8
11,10,27.7,6.1
11,11,26.9,7.5
11,12,26.4,5.5
11,13,24.9,7.7
11,14,25.6,3.9
11,15,27.8,4.0
11,16,27.6,3.3
11,17,28.4,1.1
11,18,29.5,1.8
11,19,25.5,6.0
11,20,26.3,3.6
11,21,26.3,2.2
11,22,22.2,3.8
11,23,21.1,-0.5
11,24,24.1,-3.1
11,25,27.5,-1.7
11,26,26.3,3.4
11,27,23.7,-0.9
11,28,27.1,-1.3
11,29,25.6,0.1
11,30,25.0,-0.8
12,1,24.8,-1.4
12,2,25.3,-0.7
12,3,25.1,2.0
12,4,26.3,1.8
12,5,27.9,2.7
12,6,25.4,3.6
12,7,24.4,3.0
12,8,13.9,-3.5
12,9,14.9,-8.0
12,10,17.4,-4.5
12,11,15.9,-3.8
12,12,23.8,0.5
12,13,23.4,0.2
12,14,23.1,3.2
12,15,16.2,10.3
12,16,14.6,9.5
12,17,17.8,9.4
12,18,21.7,6.9
12,19,22.6,5.8
12,20,23.6,4.5
12,21,23.0,4.4
12,22,21.1,4.1
12,23,24.4,4.8
12,24,25.6,4.3
12,25,24.7,4.8
12,26,25.2,2.5
12,27,25.4,2.6
12,28,25.3,2.8
12,29,23.6,3.3
12,30,24.6,3.1
12,31,7.6,7.6
